metric_key,metric_name,domain,preferred_source,backup_source,access_method,native_geo_levels,history_start,refresh,publication_lag,cost,license_class,reliability,tier,known_limitations
distress_nod_nts_reo,Foreclosure filings and REO,distress,NO FREE NATIONAL SOURCE. ATTOM or PropertyRadar,County recorder and court records,ATTOM REST (contact sales); PropertyRadar API on 599/mo tier,"parcel rolling up",vendor,vendor,vendor,ATTOM unpublished; PropertyRadar 599/mo,LICENSED,C,C,Recorder terms often prohibit bulk automated access; judicial states route through fragmented court dockets
unemployment_rate,Unemployment rate,economy,BLS LAUS,FRED mirror,api.bls.gov v2,"state;cbsa;county;some places",1990s,Monthly,1-1.5 months,Free,PUBLIC_DOMAIN,A state/CBSA; B county,A,County figures are model-based small-area estimates; annual benchmarking revisions
qcew_employment,Employment by industry,economy,BLS QCEW,none,api.bls.gov v2 or bulk CSV,"county by NAICS",1975,Quarterly,~5 months,Free,PUBLIC_DOMAIN,A,A,Confidentiality suppression on thin county-industry cells
qcew_construction_wage,Average weekly wage NAICS 23,renovation,BLS QCEW,BLS CES metro,api.bls.gov v2 or bulk CSV,"county",1975,Quarterly,~5 months,Free,PUBLIC_DOMAIN,B,A,Suppressed in small counties; measures wages paid not bid prices
personal_income,Personal and per-capita income,economy,BEA CAINC tables,Census ACS B19013,apps.bea.gov/api/data/,"county;cbsa",1969 varies,Annual,12-14 months,Free,PUBLIC_DOMAIN,B,A,Annual only; long lag; periodic comprehensive revisions
county_gdp,County and metro GDP,economy,BEA CAGDP/MGDP tables,none,apps.bea.gov/api/data/,"county;cbsa",~2001,Annual,12-14 months,Free,PUBLIC_DOMAIN,B,A,Too stale for tactical use
median_hh_income,Median household income,economy,Census ACS B19013,BEA per-capita income,api.census.gov acs/acs5,"nation through tract; zcta",rolling 5-year,Annual,~1 year,Free,PUBLIC_DOMAIN,A,A,5-year smoothing
population_estimate,Population and household estimates,demographics,Census Population Estimates Program,ACS B01003,api.census.gov pep,"state;county;place;cbsa",annual intercensal,Annual,~6 months,Free,PUBLIC_DOMAIN,A,A,Estimates revised at each vintage
hazard_risk_index,Composite natural hazard risk,hazard,FEMA National Risk Index,none,Bulk CSV plus ArcGIS FeatureServer,"county;tract",static,Infrequent,n/a,Free,PUBLIC_DOMAIN,B,A,Modeled relative-risk composite not an actuarial loss figure
flood_zone,FEMA flood zone,hazard,FEMA National Flood Hazard Layer,none,ArcGIS REST MapServer,"parcel point query",current effective FIRMs,As panels revise,varies,Free,PUBLIC_DOMAIN,B,A,FIRM currency varies widely by county
disaster_declarations,Federal disaster declarations,hazard,FEMA OpenFEMA v2,none,fema.gov/api/open no key,"state;county",1953,Near real time,days,Free,PUBLIC_DOMAIN,A,A,Reflects administrative process as well as hazard severity
storm_events,Storm event frequency and damage,hazard,NOAA NCEI Storm Events,none,Bulk CSV ncei.noaa.gov,"county",1950,Ongoing,~2 months,Free,PUBLIC_DOMAIN,B,A,Reporting completeness improves over time creating a spurious trend
effective_property_tax_rate,Effective property tax rate,carrying,Derived from ACS B25103 over B25077,Lincoln Institute 50-state study,api.census.gov acs/acs5,"county;tract;zcta",rolling 5-year,Annual,~1 year,Free,PUBLIC_DOMAIN,B,A,Taxes paid not statutory millage; understates cost where reassessment follows sale
statutory_millage,Statutory millage and assessment ratio,carrying,County assessor and treasurer sites,none,Manual curation,"county;municipality",n/a,Reviewed annually,n/a,Free but labor intensive,MANUAL,D,C,No standard format across 3000+ counties
homeowners_insurance_cost,Homeowners insurance premium,carrying,US Treasury FIO 2018-2022 ZIP file,NAIC state-level report,Excel download home.treasury.gov,"zcta",2018-2022,One-time release,years,Free,PUBLIC_DOMAIN,D,B,Already 3-4 years stale; suppressed below 10 insurers or 50 policies
mortgage_rate_30y,30-year fixed mortgage rate,financing,Freddie Mac PMMS,FRED MORTGAGE30US,Weekly Excel plus FRED API,"nation",1971-04,Weekly Thursday,days,Free,PERMISSIVE_ATTRIBUTION,A,A,National only; ARM and points series discontinued Nov 2022
hard_money_rate,Rehab and hard money loan rate,financing,NO PUBLIC SOURCE,none,User input,n/a,n/a,n/a,n/a,n/a,NONE,n/a,C,Not published anywhere; Deal Analyzer takes it as a user assumption
ppi_construction_materials,Producer price index construction materials,renovation,BLS PPI WPU081106 WPU081108 WPU083103 WPU082101 WPU101703 WPU1074051,none,api.bls.gov v2,"nation",long,Monthly,~2 weeks,Free,PUBLIC_DOMAIN,A,A,National only; contributes no cross-market discrimination
contractor_capacity_proxy,Contractor capacity proxy,renovation,Derived from BPS permits and QCEW NAICS 23 employment,none,Computed in L3,"county;cbsa",derived,Quarterly,inherits,Free,DERIVED,C,A,Unvalidated proxy until backtesting says otherwise
local_unit_cost_index,Local renovation unit cost index,renovation,RSMeans (Gordian),none,Commercial license,"place",n/a,Annual,n/a,Paid unpublished,PROPRIETARY,n/a,C,No free equivalent exists; documented gap
transfer_tax,Transfer tax and recording fees,transaction,Manually curated statute table,none,Manual with statute citation per row,"state;county;place",curated,Annual review,n/a,Free but labor intensive,MANUAL,C,C,~50 state rows plus ~40 local overrides; rows past review date flagged stale in UI
agent_commission,Agent commission,transaction,User preference default,none,User input,n/a,n/a,n/a,n/a,Free,NONE,n/a,C,Practice changed after the 2024 NAR settlement; an assumption not an observation
zip_county_crosswalk,ZIP to county tract CBSA crosswalk,reference,HUD USPS Crosswalk,none,huduser.gov/hudapi/public/usps bearer token,"zip to tract county cbsa",2017Q4,Quarterly,weeks,Free,PERMISSIVE_ATTRIBUTION,A,A,Allocation by residential address share; naive 1:1 joins misallocate multi-county ZIPs
fair_market_rent,Fair market rent and Small Area FMR,reference,HUD USER FMR API,none,huduser.gov/hudapi/public/fmr,"cbsa;county;zcta",1983,Annual effective Oct 1,months,Free,PERMISSIVE_ATTRIBUTION,B,A,Administrative 40th-percentile figure not market rent
